Point ID,Latitude (°),Longitude (°),X UTM (m),Y UTM (m),SOM observed (g/kg),NDVI,Slope (%),SOM predicted LOOCV (g/kg),Error (g/kg),Absolute error (g/kg),Kriging variance,SOM class
1,36.49774,7.8736,399120,4039747,1.16,0.0733,20.61,2.718,1.558,1.558,0.8338,Low (<2.0)
2,36.48171,7.84682,396700,4037998,2.951,0.3331,24.42,2.261,-0.69,0.69,0.7658,High (>2.5)
3,36.48131,7.84712,396727,4037953,4.401,0.2445,22.04,2.058,-2.343,2.343,0.7656,High (>2.5)
4,36.46042,7.78815,391415,4035700,3.041,0.0633,,2.108,-0.933,0.933,0.7181,High (>2.5)
5,36.46062,7.78812,391413,4035723,1.69,0.0636,,2.202,0.512,0.512,0.7183,Low (<2.0)
6,36.45393,7.77525,390250,4034995,2.535,0.0864,,2.103,-0.432,0.432,0.7182,High (>2.5)
7,36.45395,7.77488,390216,4034998,1.39,0.1581,,2.182,0.792,0.792,0.7184,Low (<2.0)
8,36.44292,7.7765,390346,4033772,2.456,0.0818,2.97,2.108,-0.348,0.348,0.7097,Moderate (2.0–2.5)
9,36.43879,7.79706,392183,4033291,1.917,0.0743,6.31,2.191,0.274,0.274,0.704,Low (<2.0)
10,36.43887,7.7973,392205,4033299,2.035,0.0743,7.14,2.186,0.151,0.151,0.7041,Moderate (2.0–2.5)
11,36.43836,7.79701,392179,4033243,1.175,0.0666,4.93,2.227,1.052,1.052,0.7039,Low (<2.0)
12,36.43669,7.77244,389973,4033085,2.056,0.0847,8.24,2.119,0.063,0.063,0.7086,Moderate (2.0–2.5)
13,36.436,7.77162,389899,4033010,1.046,0.0865,7.7,2.173,1.127,1.127,0.7087,Low (<2.0)
14,36.43514,7.77019,389770,4032917,2.108,0.1235,10.46,2.111,0.003,0.003,0.7091,Moderate (2.0–2.5)
15,36.43191,7.78987,391529,4032535,2.659,0.0373,7.51,2.136,-0.523,0.523,0.7022,High (>2.5)
16,36.43165,7.78897,391448,4032508,1.722,0.0587,5.86,2.177,0.455,0.455,0.7022,Low (<2.0)
17,36.41249,7.79995,392406,4030371,2.324,0.0792,11.86,2.196,-0.128,0.128,0.7033,Moderate (2.0–2.5)
18,36.41265,7.7997,392384,4030388,1.795,0.0899,15.81,2.22,0.425,0.425,0.7032,Low (<2.0)
19,36.39586,7.80237,392600,4028523,3.234,0.1001,11.29,2.18,-1.054,1.054,0.7083,High (>2.5)
20,36.3962,7.80206,392573,4028561,2.108,0.1139,16.17,2.24,0.132,0.132,0.708,Moderate (2.0–2.5)
21,36.38149,7.80327,392661,4026927,0.899,0.1034,6.11,2.357,1.458,1.458,0.7143,Low (<2.0)
22,36.38133,7.80317,392652,4026910,1.589,0.0988,5.94,2.313,0.724,0.724,0.7143,Low (<2.0)
23,36.37571,7.76956,389629,4026324,2.235,0.0522,13.53,2.197,-0.038,0.038,0.7102,Moderate (2.0–2.5)
24,36.37453,7.77454,390074,4026188,3.251,0.0724,11.49,2.153,-1.098,1.098,0.7106,High (>2.5)
25,36.35413,7.8528,397068,4023838,2.237,0.0762,9.12,2.509,0.272,0.272,0.7801,Moderate (2.0–2.5)
26,36.35177,7.72488,385586,4023721,2.437,0.0662,12.55,2.193,-0.244,0.244,0.7237,Moderate (2.0–2.5)
27,36.35164,7.72487,385585,4023707,1.755,0.0662,12.55,2.246,0.491,0.491,0.7237,Low (<2.0)
28,36.35454,7.74152,387083,4024009,2.751,0.1618,10.67,2.178,-0.573,0.573,0.7199,High (>2.5)
29,36.35473,7.74141,387074,4024030,1.495,0.1112,10.67,2.267,0.772,0.772,0.7199,Low (<2.0)
30,36.3475,7.84083,395985,4023116,4.079,0.0346,1.35,2.231,-1.848,1.848,0.7664,High (>2.5)
31,36.3412,7.66331,380045,4022623,3.95,0.203,25.1,2.098,-1.852,1.852,0.7486,High (>2.5)
32,36.34097,7.6639,380098,4022597,1.773,0.1337,23.24,2.347,0.574,0.574,0.7481,Low (<2.0)
33,36.33218,7.65089,378917,4021638,2.854,0.1211,25.78,2.274,-0.58,0.58,0.7537,High (>2.5)
34,36.33068,7.66773,380425,4021450,1.571,0.1725,24.78,2.386,0.815,0.815,0.7446,Low (<2.0)
35,36.32223,7.6504,378857,4020534,1.055,0.0447,24.17,2.516,1.461,1.461,0.7531,Low (<2.0)
36,36.30587,7.51378,366566,4018899,3.761,0.0167,,2.477,-1.284,1.284,0.8428,High (>2.5)
37,36.30356,7.51402,366582,4018643,2.111,0.1096,,2.893,0.782,0.782,0.8393,Moderate (2.0–2.5)
38,36.25945,7.53171,368097,4013725,3.591,0.0716,,2.436,-1.155,1.155,0.7908,High (>2.5)
39,36.25586,7.81974,393968,4012974,1.803,0.0537,,2.701,0.898,0.898,0.8042,Low (<2.0)
40,36.25564,7.82021,394011,4012948,2.603,0.0578,,2.544,-0.059,0.059,0.805,High (>2.5)
41,36.23948,7.76375,388915,4011219,2.655,0.1243,,2.413,-0.242,0.242,0.7689,High (>2.5)
42,36.2392,7.76362,388903,4011188,4.249,0.0947,,2.181,-2.068,2.068,0.769,High (>2.5)
43,36.20986,7.71389,384390,4007991,1.479,0.0934,,2.44,0.961,0.961,0.774,Low (<2.0)
44,36.20964,7.71334,384341,4007969,1.619,0.0984,,2.417,0.798,0.798,0.7741,Low (<2.0)
45,36.20122,7.5305,367891,4007267,3.379,0.0765,,2.164,-1.215,1.215,0.7751,High (>2.5)
46,36.20053,7.53056,367894,4007191,1.813,0.0577,,2.401,0.588,0.588,0.775,Low (<2.0)
47,36.18438,7.64871,378492,4005246,2.74,0.0855,,2.094,-0.646,0.646,0.7707,High (>2.5)
48,36.18428,7.64869,378491,4005234,1.707,0.0855,,2.246,0.539,0.539,0.7708,Low (<2.0)
49,36.15654,7.54592,369202,4002291,1.584,0.1117,,2.18,0.596,0.596,0.7822,Low (<2.0)
50,36.15622,7.54632,369238,4002255,0.302,0.0751,,2.39,2.088,2.088,0.7823,Low (<2.0)
51,36.15149,7.58674,372867,4001676,2.068,0.0716,,2.062,-0.006,0.006,0.7755,Moderate (2.0–2.5)
52,36.15106,7.5868,372871,4001628,3.029,0.0669,,1.911,-1.118,1.118,0.7761,High (>2.5)
