SOM,Slope,NDVI
1.16,20.6108,0.0732608
2.951,24.4219,0.333064
4.401,22.0444,0.244478
2.456,2.9664,0.0818382
1.917,6.31111,0.0743482
2.035,7.13949,0.0743482
1.175,4.92732,0.0665879
2.056,8.24065,0.0846807
1.046,7.70045,0.0865024
2.108,10.4646,0.123481
2.659,7.50887,0.0373371
1.722,5.86407,0.0586639
2.324,11.8608,0.0792343
1.795,15.8078,0.0898917
3.234,11.2895,0.100067
2.108,16.1698,0.113901
0.899,6.11413,0.103378
1.589,5.93966,0.098773
2.235,13.5335,0.0522154
3.251,11.4875,0.0723925
2.237,9.12345,0.0761922
2.437,12.5546,0.0661803
1.755,12.5546,0.0661803
2.751,10.6659,0.161834
1.495,10.6659,0.111222
4.079,1.34848,0.0345858
3.95,25.1003,0.202982
1.773,23.2405,0.133669
2.854,25.7819,0.121109
1.571,24.7834,0.172465
1.055,24.1681,0.0447053
